english,bangla,chittagonian
The old fisherman could predict the weather just by looking at the sky.,বৃদ্ধ জেলে শুধু আকাশ দেখে আবহাওয়ার পূর্বাভাস দিতে পারতেন।,মুরুব্বি জাইল্ল্যা শুধু আকাশ দেহি আবহাওয়া কেন অইবো অইবা হইত ফারিদ্যে।
Wild elephants from the hill forests sometimes wander into villages near Chittagong.,পাহাড়ের জঙ্গলের বন্য হাতি মাঝে মাঝে চট্টগ্রামের কাছের গ্রামে ঢুকে পড়ে।,ফাড়র জঙ্গলর বুনো হাতী মাঝে মাঝে চাটগাঁর হাছর গাঁও অঅলত আই ফঁইচ্ছে।
The full moon over the Karnaphuli River is a sight that never loses its beauty.,কর্ণফুলী নদীর উপর পূর্ণিমার চাঁদ এমন দৃশ্য যা কখনো সৌন্দর্য হারায় না।,কর্ণফুলী নৈর উপর পূর্ণিমার চান মেলা সুন্দর এক্কান দৃশ্য যা হঁনদিন পুরানা অয় না।
Every monsoon the hillside paths of Chittagong turn into small waterfalls.,প্রতি বর্ষায় চট্টগ্রামের পাহাড়ের পথগুলো ছোট ঝরনায় পরিণত হয়।,পত্তি বষ্যা কালত চাটগাঁর ফাড়র রাস্তা অঅল ছোট ছোট ঝরনা অই যায়।
She passed her HSC exam with golden A plus.,সে এইচএসসি পরীক্ষায় গোল্ডেন এ প্লাস পেয়েছে।,ইতে এইচএসসিত গোল্ডেন এ প্লাস পাইয়্যে।
He got admitted to Chittagong University after two attempts.,সে দুই চেষ্টার পর চট্টগ্রাম বিশ্ববিদ্যালয়ে ভর্তি হয়েছে।,ইতে দুইবার চেষ্টা করি চাটগাঁ ভার্সিটিত ভর্তি অইয়ে।
The students held a protest demanding better facilities at the university.,শিক্ষার্থীরা বিশ্ববিদ্যালয়ে উন্নত সুবিধার দাবিতে বিক্ষোভ করেছে।,ছাত্র অঅল ভার্সিটিত গম সুযোগ-সুবিধার লাই আন্দোলন গইজ্জে।
She studied twelve hours a day for her university entrance exam.,সে বিশ্ববিদ্যালয় ভর্তি পরীক্ষার জন্য দিনে বারো ঘণ্টা পড়াশোনা করেছে।,ইতে ভার্সিটি ভর্তি পরীক্ষার লাই দিনত বারো ঘণ্টা ধরি ফড়াশোনা গইজ্জে।
Private coaching centres near the university help students prepare for exams.,বিশ্ববিদ্যালয়ের কাছের বেসরকারি কোচিং সেন্টারগুলো শিক্ষার্থীদের পরীক্ষার প্রস্তুতিতে সাহায্য করে।,ভার্সিটির হাছর কোচিং সেন্টার অঅল ছাত্ররে পরীক্ষার লাই তৈরি গরিত সাহায্য গরে।
Many students from poor families get scholarships to continue their studies.,গরিব পরিবারের অনেক শিক্ষার্থী পড়াশোনা চালিয়ে যেতে বৃত্তি পায়।,গরিব ঘরের মেলা ছাত্র ফড়াশোনা চালাই যাইত স্কলারশিপ পায়।
The Chittagong University campus is spread across beautiful green hills.,চট্টগ্রাম বিশ্ববিদ্যালয় ক্যাম্পাস সুন্দর সবুজ পাহাড় জুড়ে বিস্তৃত।,চাটগাঁ ভার্সিটির ক্যাম্পাস সুন্দর হঁইজ্যা ফাড়র উপর মেলা বড় জাগা লই অইয়ে।
She completed her master's degree while working full time at the office.,সে অফিসে পূর্ণকালীন কাজ করার পাশাপাশি মাস্টার্স ডিগ্রি সম্পন্ন করেছে।,ইতে অফিসত গোট্টা দিন হাজ গরণের লয় মাস্টার্স পাশ গইজ্জে।
The library at the university is open until midnight during exam season.,পরীক্ষার মৌসুমে বিশ্ববিদ্যালয়ের লাইব্রেরি মধ্যরাত পর্যন্ত খোলা থাকে।,পরীক্ষার সময় ভার্সিটির লাইব্রেরি আদ রাইত পর্যন্ত খোলা থাহে।
He dreams of doing his PhD abroad and coming back to teach in Bangladesh.,সে বিদেশে পিএইচডি করে বাংলাদেশে ফিরে পড়ানোর স্বপ্ন দেখে।,ইতে বিদেশত পিএইচডি করি বাংলাদেশত ফিরি আই ফড়ানোর সপ্ন দেহে।
Bangladesh won the match against India yesterday.,বাংলাদেশ গতকাল ভারতের বিপক্ষে ম্যাচ জিতেছে।,বাংলাদেশ কাইল্যা ভারতর লয় ম্যাচ জিতি গিয়্যি।
He plays football every afternoon with his friends.,সে প্রতিদিন বিকেলে বন্ধুদের সাথে ফুটবল খেলে।,ইতে পত্তি আজা বেলা দোস্তঅঅলের লয় ফুটবল খেলে।
She swims in the sea near Patenga beach every morning.,সে প্রতিদিন সকালে পতেঙ্গা সৈকতের কাছে সমুদ্রে সাঁতার কাটে।,ইতে পত্তি বিয়ান বেলা পতেঙ্গা দরিয়ার চডর হাছত দরিয়াত সঁতার কাটে।
The whole country stopped to watch the Bangladesh cricket match.,বাংলাদেশের ক্রিকেট ম্যাচ দেখতে পুরো দেশ থেমে গিয়েছিল।,বাংলাদেশর ক্রিকেট খেলা দেহিত গোট্টা দেশ খাড়ই গিয়্যিল।
Chittagong has produced many talented cricket players for the national team.,চট্টগ্রাম জাতীয় দলের জন্য অনেক প্রতিভাবান ক্রিকেটার তৈরি করেছে।,চাটগাঁ ন্যাশনাল টিমর লাই মেলা নাম করা ক্রিকেটার তৈয়ার গইজ্জে।
The Zahur Ahmed Chowdhury Stadium in Chittagong hosts international matches.,চট্টগ্রামের জহুর আহমেদ চৌধুরী স্টেডিয়ামে আন্তর্জাতিক ম্যাচ হয়।,চাটগাঁর জহুর আহমেদ চৌধুরী স্টেডিয়ামত বিদেশি ম্যাচ অয়/ওয়।
She trained for three years to compete in the national athletics championship.,সে জাতীয় অ্যাথলেটিক্স চ্যাম্পিয়নশিপে প্রতিযোগিতার জন্য তিন বছর অনুশীলন করেছে।,ইতে ন্যাশনাল গেমসর লাই তিন বছর ধরি প্র্যাকটিস গইজ্জে।
Children in Chittagong play cricket in every open space they can find.,চট্টগ্রামের শিশুরা খালি জায়গা পেলেই ক্রিকেট খেলে।,চাটগাঁর ফুয়াঅঅল খালি জাগা পাইলে ক্রিকেট খেলে।
The sports teacher encouraged all students to participate in physical activities.,ক্রীড়া শিক্ষক সব শিক্ষার্থীকে শারীরিক কার্যকলাপে অংশ নিতে উৎসাহিত করেছেন।,খেলার মাস্টার বেগগুন ছাত্ররে খেলাধুলা গরিত সাহস দিয়্যি।
Bangladesh's victory in cricket always brings the nation together with pride.,ক্রিকেটে বাংলাদেশের জয় সবসময় গর্বের সাথে জাতিকে একত্রিত করে।,ক্রিকেটত বাংলাদেশর জিত সবসময় গর্বর লয় বেগগুনরে এক জাগাত গরে।
He learned to swim in the village pond and now trains at the city pool.,সে গ্রামের পুকুরে সাঁতার শিখেছে এবং এখন শহরের পুলে অনুশীলন করে।,ইতে গাঁওর পুহুরত সঁতার শিখ্যি আর এহুন শহরর সুইমিং পুলত প্র্যাকটিস গরের।
The traditional boat race on Karnaphuli during monsoon is a joyful event.,বর্ষায় কর্ণফুলীতে ঐতিহ্যবাহী নৌকাবাইচ একটি আনন্দময় আয়োজন।,বষ্যা কালত কর্ণফুলীত নৌহা বাইচ মেলা আমোদর এক্কান হাজ।
She represented her district in the national volleyball championship.,সে জাতীয় ভলিবল চ্যাম্পিয়নশিপে তার জেলার প্রতিনিধিত্ব করেছে।,ইতে ন্যাশনাল ভলিবল খেলাত নিজের জেলার নাম উজ্জ্বল গইজ্জে।
Young boys in the village play kabaddi after the rice harvest is done.,ধান কাটা শেষে গ্রামের ছোট ছেলেরা কাবাডি খেলে।,ধান হাডা শেষ অইলে গাঁওর ছোট পোয়া অঅল হাড্ডুডু খেলে।
Winning the local football tournament was the proudest moment of his life.,স্থানীয় ফুটবল টুর্নামেন্ট জেতা ছিল তার জীবনের সবচেয়ে গর্বের মুহূর্ত।,এলাকার ফুটবল খেলাত জিতেন অইলো ইতর জীবনর বেগগুনত্তুন বড় গর্বর হতা।
The national stadium in Dhaka is where many Chittagonian athletes have shone.,ঢাকার জাতীয় স্টেডিয়ামে অনেক চাটগাঁইয়া অ্যাথলেট উজ্জ্বল হয়েছে।,ঢাকার ন্যাশনাল স্টেডিয়ামত চাটগাঁর মেলা খেলোয়ার নাম গইজ্জে।
She completed a marathon along the Chittagong beachfront for charity.,সে দাতব্য কাজে চট্টগ্রামের সৈকতের ধারে একটি ম্যারাথন সম্পন্ন করেছে।,ইতে মাইনষর লাই চাটগাঁর দরিয়ার চডর হাছত ম্যারাথন দৌঁড় শেষ গইজ্জে।
Physical fitness and team spirit are the two pillars of great sportsmanship.,শারীরিক সুস্থতা ও দলীয় মনোভাব মহান ক্রীড়াসুলভ মনোবৃত্তির দুটি স্তম্ভ।,শরীল গম রাহন আর একলয় হাজ গরণ অইলো খেলার আসল নিয়ম।
The coach taught the boys discipline before he taught them any techniques.,কোচ ছেলেদের কোনো কৌশল শেখানোর আগে শৃঙ্খলা শিখিয়েছেন।,কোচ ফুয়াঅঅলরে খেলার কায়দা শিখাইত আগে ডিসিপ্লিন শিখাইয়্যে।
Every Friday the neighborhood boys play a friendly football match together.,প্রতি শুক্রবার পাড়ার ছেলেরা একসাথে একটি বন্ধুত্বপূর্ণ ফুটবল ম্যাচ খেলে।,পত্তি শুক্কুরবার পাড়ার ফুয়া অঅল একসাথে এক্কান ফুটবল ম্যাচ খেলে।
She tutored younger students to earn money for her own university fees.,সে নিজের বিশ্ববিদ্যালয়ের ফি জোগাতে ছোট শিক্ষার্থীদের প্রাইভেট পড়াত।,ইতে নিজের ভার্সিটির টেঁয়া পাইতল্লাই ছোট ফুয়াঅঅলরে প্রাইভেট ফড়াইতো।
The new digital classroom has changed how children learn at school.,নতুন ডিজিটাল ক্লাসরুম স্কুলে শিশুদের শেখার পদ্ধতি বদলে দিয়েছে।,নুয়া ডিজিটাল ক্লাস ফুয়াঅঅলের শিখিবের নিয়ম বদলাই দিয়্যি।
He failed twice but never gave up and finally earned his degree.,সে দুইবার ফেল করেছে কিন্তু কখনো হাল ছাড়েনি এবং শেষমেশ ডিগ্রি পেয়েছে।,ইতে দুইবার ফেল গইজ্জে কিন্তু সপ্ন ছড়ি ন দেয় আর শেষে ডিগ্রি পাইয়্যে।
Free primary education in Bangladesh has helped millions of children.,বাংলাদেশে বিনামূল্যে প্রাথমিক শিক্ষা লক্ষ লক্ষ শিশুকে সাহায্য করেছে।,বাংলাদেশত মাগনা পইলা শিক্ষা মেলা ফুয়া-মাইয়্যারে সাহায্য গইজ্জে।
She received the best student award three years in a row.,সে তিন বছর ধরে সেরা শিক্ষার্থীর পুরস্কার পেয়েছে।,ইতে তিন বছর ধরি বেগগুনত্তুন গম ছাত্রর পুরষ্কার পাইয়্যে।
Reading and writing Chittagonian should be taught alongside standard Bangla.,চাটগাঁইয়া পড়া ও লেখা প্রমিত বাংলার পাশাপাশি শেখানো উচিত।,বাংলা ফড়ানোর লয় চাটগাঁইয়া আঞ্চলিক ফড়া আর লেখাও শিখাওন দরকার।
Every teacher in this country deserves respect and a fair salary.,এই দেশের প্রতিটি শিক্ষক সম্মান ও ন্যায্য বেতনের যোগ্য।,ইয়া দেশের পত্তি মাস্টার ইজ্জত আর ঠিকমতো টেঁয়া পাওনর হকদার।
His teacher inspired him to pursue computer science as his career.,তার শিক্ষক তাকে কম্পিউটার বিজ্ঞানকে ক্যারিয়ার হিসেবে নিতে অনুপ্রাণিত করেছেন।,ইতর মাস্টার ইতেরে কম্পিউটার সায়েন্স লই ফড়িত সাহস দিয়্যি।
Bangladesh won the under-19 cricket World Cup and the nation celebrated together.,বাংলাদেশ অনূর্ধ্ব-১৯ ক্রিকেট বিশ্বকাপ জিতেছে এবং জাতি একসাথে উদযাপন করেছে।,বাংলাদেশ অনূর্ধ্ব-১৯ ওয়ার্ল্ড কাপ জিতি গিয়্যি আর বেগগুন একসাথে আমোদ গইজ্জে।
She won the gold medal in swimming at the divisional games.,সে বিভাগীয় গেমসে সাঁতারে স্বর্ণপদক জিতেছে।,ইতে বিভাগীয় খেলাত সঁতারত গোল্ড মেডেল পাইয়্যে।
Cricket brought the whole neighborhood together to watch the final match.,ফাইনাল ম্যাচ দেখতে ক্রিকেট পুরো পাড়াকে একত্রিত করেছে।,ফাইনাল ম্যাচ দেহিতল্লাই ক্রিকেট গোট্টা পাড়ারে এক জাগাত গইজ্জে।
He coaches young boys for free every Saturday morning at the local ground.,সে প্রতি শনিবার সকালে স্থানীয় মাঠে বিনামূল্যে তরুণ ছেলেদের কোচিং দেয়।,ইতে পত্তি শনিবার বিয়ান বেলা এলাকার বিলত মাগনা জোয়ান ফুয়াঅঅলরে খেলা শিখায়।
Kabaddi and ha-du-du are traditional games played across all of Bangladesh.,কাবাডি ও হা-ডু-ডু সমগ্র বাংলাদেশে খেলা ঐতিহ্যবাহী খেলা।,হাড্ডুডু গোট্টা বাংলাদেশর মেলা পুরানা এক্কান খেলা।
Sport teaches teamwork respect and how to handle both winning and losing.,খেলাধুলা দলগত কাজ সম্মান এবং জয়-পরাজয় উভয়ই সামলানো শেখায়।,"খেলাধুলা একসাথে হাজ গরণ, ইজ্জত গরণ আর জিতি-হারন বেগগুন শিখায়।"
She kicked the winning goal in the last minute of the school tournament.,সে স্কুল টুর্নামেন্টের শেষ মিনিটে জয়সূচক গোল করেছে।,ইতে ইশকুল খেলাত শেষ মিনিটত গোল দি জিতি দিয়্যি।
The annual inter-school sports event in Chittagong attracts hundreds of students.,চট্টগ্রামের বার্ষিক আন্তঃস্কুল ক্রীড়া অনুষ্ঠানে শত শত শিক্ষার্থী অংশ নেয়।,চাটগাঁর বছরর খেলা অনুষ্ঠানে মেলা ছাত্র অংশ লয়।
He trained under a retired national athlete who lived in his village.,সে তার গ্রামে বসবাসকারী অবসরপ্রাপ্ত জাতীয় অ্যাথলেটের তত্ত্বাবধানে অনুশীলন করেছে।,ইতে গাঁওর এক জন রিটায়ার্ড খেলোয়ারর তুন প্র্যাকটিস গইজ্জে।
The morning exercise group at Patenga beach grows larger every week.,পতেঙ্গা সৈকতের সকালের ব্যায়াম দলটি প্রতি সপ্তাহে বড় হচ্ছে।,পতেঙ্গা দরিয়ার চডত বিয়ান বেলা ব্যায়াম গইজ্জে দে দল পত্তি সপ্তাত বাড়ি যারগৈ।
Young children learn discipline through sport even before they learn technique.,তরুণ শিশুরা কৌশল শেখার আগেই খেলাধুলার মাধ্যমে শৃঙ্খলা শেখে।,ছোট ফুয়া অঅল কায়দা শিখিবার আগেই খেলার লাই নিয়ম শিখে।
The traditional boat race on the Karnaphuli is a joyful community celebration.,কর্ণফুলীতে ঐতিহ্যবাহী নৌকাবাইচ একটি আনন্দময় সামাজিক উদযাপন।,কর্ণফুলীত নৌহা বাইচ মেলা আমোদর এক্কান হাজ।
What is your job?,তোমার কাজ কী?,তোঁয়ার হাজ কী?
He works at the port.,সে বন্দরে কাজ করে।,ইতে বন্দরত হাজ গরে।
She is a nurse at the hospital.,সে হাসপাতালে নার্স।,ইতি হাস্পাতালত নার্স।
I am looking for a new job.,আমি নতুন চাকরি খুঁজছি।,আঁই নুয়া চঁহুরি তোয়াইর
He got promoted to senior manager last month.,সে গত মাসে সিনিয়র ম্যানেজার পদে পদোন্নতি পেয়েছে।,ইতে গত মাসত সিনিয়র ম্যানেজার অইয়ে
She resigned from her job to start her own business.,সে নিজের ব্যবসা শুরু করতে চাকরি ছেড়ে দিয়েছে।,ইতে নিজের বেবসা শুরু গরিত চঁহুরি ছড়ি দিয়্যি।
Finding a job after graduation is very difficult in Bangladesh.,বাংলাদেশে স্নাতকের পর চাকরি খুঁজে পাওয়া অনেক কঠিন।,বাংলাদেশত ভার্সিটি পাশ গইজ্জে দে অইলেও চঁহুরি পওয়ন মেলা হষ্ট।
He has been working on merchant ships for fifteen years.,সে পনেরো বছর ধরে মালবাহী জাহাজে কাজ করছে।,ইতে পনেরো বছর ধরি মালবাহী জাহাজত হাজ গরের।
She earns extra income by doing freelance graphic design on weekends.,সে সপ্তাহান্তে ফ্রিল্যান্স গ্রাফিক ডিজাইন করে অতিরিক্ত আয় করে।,ইতে বন্ধর দিনত ফ্রিল্যান্স গ্রাফিক ডিজাইন করি বাড়তি টেঁয়া হামায়।
Chittagong port employs tens of thousands of workers directly and indirectly.,চট্টগ্রাম বন্দর সরাসরি ও পরোক্ষভাবে হাজার হাজার শ্রমিকের কর্মসংস্থান করে।,চাটগাঁ বন্দর দি মেলা মাইনষর হাজর ব্যবস্থা অয়।
He left for Saudi Arabia to work as a construction laborer.,সে নির্মাণ শ্রমিক হিসেবে কাজ করতে সৌদি আরব চলে গেছে।,ইতে কনস্ট্রাকশন হাজর লাই সৌদি আরব গিয়্যি।
The garment factory gave her a job when her family needed it most.,পরিবারের সবচেয়ে বেশি প্রয়োজনের সময় পোশাক কারখানা তাকে চাকরি দিয়েছিল।,পরিবারর মেলা দরকারর সময় হাপড়র ফ্যাক্টরি ইতেরে হাজ দিয়্যি।
He studied engineering but ended up working in banking.,সে ইঞ্জিনিয়ারিং পড়েছিল কিন্তু শেষ পর্যন্ত ব্যাংকিংয়ে কাজ করছে।,ইতে ইঞ্জিনিয়ারিং ফড়লেও শেষত ব্যাংকিংত হাজ গরের।
She works night shifts at the hospital and sleeps during the day.,সে হাসপাতালে রাতের শিফটে কাজ করে এবং দিনে ঘুমায়।,ইতে হাস্পাতালত রাইতর শিফটত হাজ গরে আর বিয়ান বেলা ঘূমায়।
The new economic zone near Chittagong is creating thousands of jobs.,চট্টগ্রামের কাছে নতুন অর্থনৈতিক অঞ্চল হাজার হাজার কর্মসংস্থান তৈরি করছে।,চাটগাঁর হাছত নুয়া ইকোনমিক জোন মেলা হাজর ব্যবস্থা গরের।
He works as a rickshaw driver to support his family of five.,সে পাঁচজনের পরিবার চালাতে রিকশা চালায়।,ইতে পাঁচ মাইনষর পরিবার চালাইত রিকশা চালায়।
She became the first woman manager in her company's Chittagong branch.,সে তার কোম্পানির চট্টগ্রাম শাখায় প্রথম নারী ম্যানেজার হয়েছে।,ইতি ইতর কোম্পানির চাটগাঁ ব্রাঞ্চত পইলা মাইয়্যা ম্যানেজার অইয়ে।
Many young people from Chittagong work in Dhaka and send money home.,চট্টগ্রামের অনেক তরুণ ঢাকায় কাজ করে বাড়িতে টাকা পাঠায়।,চাটগাঁর মেলা জোয়ান ফুয়া ঢাকা আইত করি ঘরোত টেঁয়া পাডায়।
A good CV and communication skills are essential for job hunting.,ভালো সিভি ও যোগাযোগ দক্ষতা চাকরি খোঁজার জন্য অপরিহার্য।,গম সিভি আর হতা হওনর কায়দা হাজ তোয়াইত মেলা দরকারি।
He learned carpentry from his father and now runs his own workshop.,সে বাবার কাছ থেকে কাঠমিস্ত্রি শিখেছে এবং এখন নিজের কারখানা চালায়।,ইতে বাপর হাছত্তুন কাঠমিস্ত্রি হাম শিখ্যি আর এহুন নিজের ফ্যাক্টরি চালায়।
She was laid off during the slowdown but found a better job soon.,মন্দায় তার চাকরি গেছিল কিন্তু শীঘ্রই আরও ভালো চাকরি পেয়েছে।,মন্দার লাই ইতর হাজ গিয়্যি কিন্তু তাড়াতাড়ি ইতে গম হাজ পাইয়্যে।
Working on a fishing trawler is dangerous but pays well in Chittagong.,ট্রলারে কাজ করা বিপজ্জনক কিন্তু চট্টগ্রামে ভালো মজুরি দেয়।,ট্রলারত হাজ গরণ ডরর কিন্তু চাটগাঁত মেলা টেঁয়া দেয়।
He passed the government job exam after three years of preparation.,তিন বছর প্রস্তুতির পর সে সরকারি চাকরির পরীক্ষায় পাস করেছে।,তিন বছর ফড়িবার পরে ইতে সরকারি হাজর পরীক্ষাত পাশ গইজ্জে।
She manages her home her children and her business all at once.,সে একসাথে তার বাড়ি সন্তান ও ব্যবসা সামলায়।,"ইতি একসাথে ইতর ঘর, ফুয়া আর বেবসা সামলায়।"
The ship breaking industry near Chittagong provides livelihoods to many families.,চট্টগ্রামের কাছে জাহাজ ভাঙা শিল্প অনেক পরিবারের জীবিকা দেয়।,চাটগাঁর হাছর জাহাজ ভাঙার হাজ মেলা পরিবারর পেটর ভাত জোগায়।
Learning English opens many more career opportunities for young Bangladeshis.,ইংরেজি শেখা তরুণ বাংলাদেশিদের জন্য আরও বেশি ক্যারিয়ারের সুযোগ খুলে দেয়।,ইংরেজি শিখিলে জোয়ান ফুয়াঅঅলের লাই মেলা ক্যারিয়ারর সুযোগ অয়/ওয়।
He delivers groceries on his bicycle every morning before the city wakes up.,শহর জেগে ওঠার আগে সে প্রতিদিন সাইকেলে মুদিমাল ডেলিভারি দেয়।,শহর উডনর আগে ইতে পত্তি বিয়ানত সাইকেলত মুদিমাল পাডায়।
The digital economy is creating new types of jobs that never existed before.,ডিজিটাল অর্থনীতি নতুন ধরনের চাকরি তৈরি করছে যা আগে কখনো ছিল না।,ডিজিটাল বেবসা নুয়া নুয়া হাজ তৈয়ার গরের যা আগে আছিল না।
She sews clothes at home and sells them at the weekly market.,সে বাড়িতে কাপড় সেলাই করে সাপ্তাহিক বাজারে বিক্রি করে।,ইতি ঘরোত হাপড় সেলায় সাপ্তাহিক বাজারত বেচে।
Vocational training is helping young people who could not finish school.,বৃত্তিমূলক প্রশিক্ষণ তাদের সাহায্য করছে যারা স্কুল শেষ করতে পারেনি।,ট্রেনিং অঅল তারারে সাহায্য গরের যারা ইশকুল শেষ গরিত ফারে নাই।
He retired after thirty-five years of service at Chittagong port.,সে চট্টগ্রাম বন্দরে পঁয়ত্রিশ বছর চাকরির পর অবসর নিয়েছে।,ইতে চাটগাঁ বন্দরত পঁইত্রিশ বছর হাজ গরি রিটায়ার্ড গইজ্জে।
She is the sole breadwinner of her family after her husband's accident.,স্বামীর দুর্ঘটনার পর সে তার পরিবারের একমাত্র উপার্জনকারী।,জামাই এক্সিডেন্ট অইবার পরে ইতি ইতর পরিবারর একমাত্র টেঁয়া কামানি মাইনষ।
Many Chittagonian youth are now working in IT companies in Dhaka.,চট্টগ্রামের অনেক তরুণ এখন ঢাকার আইটি কোম্পানিতে কাজ করছে।,চাটগাঁর মেলা জোয়ান ফুয়া এহুন ঢাকার আইটি কোম্পানিত হাজ গরের।
A stable government job is still the dream of most Bangladeshi families.,একটি স্থিতিশীল সরকারি চাকরি এখনো বেশিরভাগ বাংলাদেশি পরিবারের স্বপ্ন।,এক্কান সরকারি হাজ অওনো বেশিরভাগ পরিবারর সপ্ন।
She works at the bank from nine to five and takes evening classes.,সে নয়টা থেকে পাঁচটা ব্যাংকে কাজ করে এবং সন্ধ্যার ক্লাস করে।,ইতে নয়টা তুন পাঁচটা ব্যাংকত হাজ গরে আর আজিন্নে বেলা ক্লাস গরে।
He sends half his salary to his parents in the village every month.,সে প্রতি মাসে তার বেতনের অর্ধেক গ্রামে বাবা-মার কাছে পাঠায়।,ইতে পত্তি মাসত ইতর কামাইর অর্ধেক গাঁওর বাপ-মার হাতত পাডায়।
Tourism is becoming a growing source of income for families near Cox's Bazar.,কক্সবাজারের কাছের পরিবারের জন্য পর্যটন ক্রমবর্ধমান আয়ের উৎস হচ্ছে।,কসবাজারর হাছর পরিবারর লাই ট্যুরিজম মেলা টেঁয়া কামানোর জাগা অইযার।
She became a teacher because she wanted to give back to her community.,সে শিক্ষক হয়েছে কারণ সে তার সম্প্রদায়কে ফিরিয়ে দিতে চেয়েছিল।,ইতে মাস্টার অইয়ে কারণ ইতে ইতর এলাকার মাইনষরে সাহায্য গরিত চাইতো।
His talent in cooking landed him a job at one of Chittagong's best restaurants.,রান্নায় তার প্রতিভা তাকে চট্টগ্রামের সেরা রেস্তোরাঁয় চাকরি দিয়েছে।,রাঁধনত ইতর হমতা ইতেরে চাটগাঁর গম রেস্টুরেন্টত হাজ দিয়্যি।
Working hard with integrity is the only path to long-term success.,সততার সাথে কঠোর পরিশ্রমই দীর্ঘমেয়াদি সাফল্যের একমাত্র পথ।,হাচা মনে হষ্ট গরণই মেলা দিনর সফলতার পথ।
I want to go to Cox's Bazar.,আমি কক্সবাজার যেতে চাই।,আঁই কসবাজার যাইত চাই।
The road to Bandarban is very beautiful.,বান্দরবানের রাস্তা অনেক সুন্দর।,বান্দরবানর রাস্তা মেলা সুন্দর।
She visited Sajek Valley last winter.,সে গত শীতে সাজেক ভ্যালি পরিদর্শন করেছে।,ইতে গিয়্যি শীতকালত সাজেক ভ্যালি দেহি আইয়্যে।
The bus from Chittagong to Dhaka takes about five hours.,চট্টগ্রাম থেকে ঢাকার বাসে প্রায় পাঁচ ঘণ্টা লাগে।,চাটগাঁ তুন ঢাকার বাসে পাঁচ ঘণ্টা লাগে।
He took the overnight train to visit his relatives in Comilla.,সে কুমিল্লায় আত্মীয়দের দেখতে রাতের ট্রেনে গেছে।,ইতে কুমিল্লাত আত্মীয়র লয় দেখা গরিত রাইতর ট্রেনত গিয়্যি।
Cox's Bazar is the world's longest natural sea beach and it is stunning.,কক্সবাজার বিশ্বের দীর্ঘতম প্রাকৃতিক সমুদ্র সৈকত এবং এটি অসাধারণ সুন্দর।,কসবাজার দুনিয়ার বেগগুনত্তুন বড় দরিয়ার চড আর ইয়ান মেলা সুন্দর।
She planned a three-day trip to the Chittagong Hill Tracts with her family.,সে পরিবারের সাথে চট্টগ্রাম পার্বত্য অঞ্চলে তিন দিনের ভ্রমণ পরিকল্পনা করেছে।,ইতে পরিবার লই ফাহাড়ি জাগাত তিন দিন ঘুরিবার লাই প্ল্যান গইজ্জে।
The ferry crossing from Chittagong to the island takes two hours.,চট্টগ্রাম থেকে দ্বীপে ফেরি পারাপারে দুই ঘণ্টা লাগে।,চাটগাঁ তুন দ্বীপে ফেরি দি যাইবার লাই দুই ঘণ্টা লাগে।
Rangamati is known for its beautiful lake and tribal culture.,রাঙামাটি তার সুন্দর হ্রদ ও আদিবাসী সংস্কৃতির জন্য পরিচিত।,রাঙামাটি ইতর সুন্দর হ্রদ আর আদিবাসী সংস্কৃতির লাই চেনা।
Travelling by the coastal road from Chittagong to Cox's Bazar is breathtaking.,চট্টগ্রাম থেকে কক্সবাজারের উপকূলীয় সড়কে ভ্রমণ অসাধারণ সুন্দর।,চাটগাঁ তুন কসবাজারর দরিয়ার হাছর রাস্তা দি যাইবার আনন্দই আলাদা।
He missed his bus and had to wait three hours at the station.,সে বাস মিস করেছে এবং স্টেশনে তিন ঘণ্টা অপেক্ষা করতে হয়েছে।,ইতে বাস মিস গইজ্জে আর স্টেশনত তিন ঘণ্টা খাড়ই থাহন লাইগ্যে।
She always carries medicine and water when travelling long distances.,দীর্ঘ পথে ভ্রমণে সে সবসময় ওষুধ ও পানি বহন করে।,মেলা দূরের লাই যাইবার সময় ইতে হঁত্তিবাজে ওষুদ আর পানি লয়।
The view from the top of the hill in Bandarban is unforgettable.,বান্দরবানের পাহাড়ের চূড়া থেকে দৃশ্য অবিস্মরণীয়।,বান্দরবানর ফাড়র চুরা তুন দেহন দৃশ্য হঁনদিন ভুলন ন যায়।
Travelling during Eid is exciting but the roads are extremely crowded.,ঈদে ভ্রমণ রোমাঞ্চকর কিন্তু রাস্তাগুলো অত্যন্ত ভিড় থাকে।,ইদর সময় ভ্রমণ গম কিন্তু রাস্তা মেলা ভিড় থাহে।
He has visited every district in Bangladesh over the past ten years.,সে গত দশ বছরে বাংলাদেশের প্রতিটি জেলা পরিদর্শন করেছে।,ইতে গিয়্যি দশ বছরত বাংলাদেশর পত্তি জেলা দেহি আইয়্যে।
The Sundarban mangrove forest is one of Bangladesh's greatest natural treasures.,সুন্দরবনের ম্যানগ্রোভ বন বাংলাদেশের অন্যতম মহান প্রাকৃতিক সম্পদ।,সুন্দরবনর জঙ্গল বাংলাদেশর এক্কান মেলা বড় সম্পদ।
She photographed every sunset during her week-long stay at Patenga beach.,পতেঙ্গায় এক সপ্তাহে সে প্রতিটি সূর্যাস্তের ছবি তুলেছে।,পতেঙ্গাত এক সপ্তাত ইতে পত্তি আজা বেলার ছবি তুল্যি।
