#,English,Bangla,Chittagonian
1073,Foy's Lake is a popular spot for family outings on weekends.,ফয়'স লেক সপ্তাহান্তে পারিবারিক বেড়ানোর একটি জনপ্রিয় জায়গা।,ফয়'স লেক বন্ধর দিনত পরিবার লই বেড়ানি জাগা।
1074,The Chittagong circuit house is one of the oldest colonial buildings in the city.,চট্টগ্রাম সার্কিট হাউস শহরের অন্যতম প্রাচীন ঔপনিবেশিক ভবন।,চাটগাঁ সার্কিট হাউস শহরর মেলা পুরানা এক্কান বিল্ডিং।
1075,Patenga beach fills with visitors every evening especially during holidays.,পতেঙ্গা সৈকতে প্রতি সন্ধ্যায় বিশেষত ছুটির দিনে দর্শনার্থীতে ভরে যায়।,পতেঙ্গা দরিয়ার চড পত্তি আজা বেলা আর বন্ধর দিনত মাইনষত ভরি থাহে।
1076,The ferry ride across the Karnaphuli at sunset is a beautiful experience.,সূর্যাস্তে কর্ণফুলী পার হওয়া ফেরি যাত্রা একটি সুন্দর অভিজ্ঞতা।,আজা বেলা কর্ণফুলী পার অওন মেলা সুন্দর এক্কান বিষয়।
1077,GEC circle is a busy intersection where many roads of Chittagong meet.,জিইসি সার্কেল একটি ব্যস্ত মোড় যেখানে চট্টগ্রামের অনেক রাস্তা মিলিত হয়।,জিইসি মোড় মেলা ব্যস্ত জাগা যেহঁডে মেলা রাস্তা একসাথে অইয়ে।
1078,Dampara is the area in Chittagong known for its police headquarters.,দামপাড়া চট্টগ্রামের পুলিশ সদর দফতরের জন্য পরিচিত এলাকা।,দামপাড়া চাটগাঁর পুলিশ অফিসর লাই চেনা জাগা।
1079,Halishahar is a densely populated residential area near the port.,হালিশহর বন্দরের কাছে একটি ঘনবসতিপূর্ণ আবাসিক এলাকা।,হালিশহর বন্দরর হাছত মাইনষ থাহের দে এক্কান বড় জাগা।
1080,The Chittagong club is one of the oldest social clubs in Bangladesh.,চট্টগ্রাম ক্লাব বাংলাদেশের অন্যতম প্রাচীন সামাজিক ক্লাব।,চাটগাঁ ক্লাব বাংলাদেশর মেলা পুরানা এক্কান ক্লাব।
1081,Chawkbazar is a historic market area in the heart of old Chittagong.,চকবাজার পুরনো চট্টগ্রামের কেন্দ্রে একটি ঐতিহাসিক বাজার এলাকা।,চকবাজার পুরানা চাটগাঁর মাজে এক্কান ইতিহাসর বাজার।
1082,Shah Amanat International Airport connects Chittagong to the world.,শাহ আমানত আন্তর্জাতিক বিমানবন্দর চট্টগ্রামকে বিশ্বের সাথে সংযুক্ত করে।,শাহ আমানত এয়ারপোর্ট চাটগাঁরে দুনিয়ার লয় মিলাই দিয়্যি।
1083,The Chittagong Hill Tracts Peace Accord was signed in 1997.,চট্টগ্রাম পার্বত্য চুক্তি ১৯৯৭ সালে স্বাক্ষরিত হয়েছিল।,চাটগাঁ ফাহাড়ি চুক্তি ১৯৯৭ সালত অইয়ে।
1084,Nazirhat is a small town on the outskirts of Chittagong known for its market.,নাজিরহাট চট্টগ্রামের উপকণ্ঠে তার বাজারের জন্য পরিচিত একটি ছোট শহর।,নাজিরহাট চাটগাঁর কিনারর এক্কান ছোট বাজারর জাগা।
1085,Sitakunda is famous for its ship breaking yards and Hindu temples.,সীতাকুণ্ড তার জাহাজ ভাঙার ইয়ার্ড ও হিন্দু মন্দিরের জন্য বিখ্যাত।,সীতাকুণ্ড জাহাজ ভাঙার ইয়ার্ড আর হিন্দু মন্দিরর লাই মেলা নাম করা।
1086,Mirsarai has a large economic zone that is attracting many investors.,মিরসরাইতে একটি বড় অর্থনৈতিক অঞ্চল রয়েছে যা অনেক বিনিয়োগকারীকে আকর্ষণ করছে।,মিরসরাইত এক্কান বড় বেবসার জাগা আছে যেহঁডে মেলা মাইনষ টেঁয়া খরচ গরের।
1087,The annual Chittagong boat race on the Karnaphuli River is a festive event.,কর্ণফুলী নদীতে বার্ষিক চট্টগ্রাম নৌকাবাইচ একটি উৎসবমুখর আয়োজন।,কর্ণফুলী নৈত বছরর নৌহা বাইচ মেলা আমোদর এক্কান হাজ।
1088,Cox's Bazar the world's longest natural sea beach is near Chittagong.,বিশ্বের দীর্ঘতম প্রাকৃতিক সমুদ্র সৈকত কক্সবাজার চট্টগ্রামের কাছে।,দুনিয়ার বেগগুনত্তুন বড় দরিয়ার চড কসবাজার চাটগাঁর হাছত।
1089,The biannual Chittagong trade fair showcases local products to the whole country.,দ্বিবার্ষিক চট্টগ্রাম বাণিজ্য মেলা স্থানীয় পণ্য সারা দেশে প্রদর্শন করে।,চাটগাঁর বেবসার মেলাত এলাকার চিজ বেগগুন গোট্টা দেশত দেহানো অয়।
1090,Many families in Chittagong still follow the tradition of mezban for celebrations.,চট্টগ্রামের অনেক পরিবার এখনো উদযাপনের জন্য মেজবানের ঐতিহ্য অনুসরণ করে।,চাটগাঁর মেলা পরিবার অওনো আমোদ গরিতল্লাই মেজবানর নিয়ম মানে।
1091,The Chittagonian greeting often includes asking about the family and health.,চাটগাঁইয়া অভিবাদনে প্রায়ই পরিবার ও স্বাস্থ্যের খোঁজ নেওয়া অন্তর্ভুক্ত।,চাটগাঁইয়া মাইনষ দেখা অইলে পরিবার আর শরীলর হবর লয়।
1092,Speaking Chittagonian with pride is something every local person feels deeply.,গর্বের সাথে চাটগাঁইয়া বলা এমন কিছু যা প্রতিটি স্থানীয় মানুষ গভীরভাবে অনুভব করে।,গর্ব করি চাটগাঁইয়া হতায় হতা কওন এলাকার পত্তি মাইনষর মনর হতা।
1093,Preserving the Chittagonian dialect is important for the cultural identity of the region.,চাটগাঁইয়া উপভাষা সংরক্ষণ এই অঞ্চলের সাংস্কৃতিক পরিচয়ের জন্য গুরুত্বপূর্ণ।,চাটগাঁইয়া আঞ্চলিক ভাষা বাঁচাই রাহন এলাকার পরিচয়র লাই মেলা দরকারি।
1094,This research on Bangla to Chittagonian translation will help preserve the dialect.,বাংলা থেকে চাটগাঁইয়া অনুবাদের এই গবেষণা উপভাষা সংরক্ষণে সাহায্য করবে।,বাংলা তুন চাটগাঁইয়া অনুবাদ গরণের ইয়া রিসার্চ আঞ্চলিক ভাষা বাঁচাইত সাহায্য গরিবে।
1095,Using AI to translate the Chittagonian dialect is a meaningful contribution to NLP.,চাটগাঁইয়া উপভাষা অনুবাদে এআই ব্যবহার করা এনএলপিতে একটি অর্থবহ অবদান।,চাটগাঁইয়া ভাষা অনুবাদ গরণে এআইর ব্যবহার মেলা দরকারি হাজ।
1096,We hope this dataset will help future researchers working on low-resource dialects.,আমরা আশা করি এই ডেটাসেট স্বল্প-সম্পদ উপভাষা নিয়ে কাজ করা ভবিষ্যৎ গবেষকদের সাহায্য করবে।,আঁরা আশা গরি ইয়া ডাটাসেট হম-সম্পদর আঞ্চলিক ভাষা লই হাজ গইজ্জে দে সামনের রিসার্চার অঅলেরে সাহায্য গরিবে।
1097,The sounds of Chittagonian spoken in the market bring joy to local people.,বাজারে বলা চাটগাঁইয়া ভাষার শব্দ স্থানীয় মানুষদের আনন্দ দেয়।,বাজারত হইয়া চাটগাঁইয়া হতায় এলাকার মাইনষরে মেলা হুশি গরে।
1098,A child who grows up hearing Chittagonian at home learns it naturally.,যে শিশু বাড়িতে চাটগাঁইয়া শুনে বড় হয় সে স্বাভাবিকভাবেই এটা শেখে।,"যে ফুয়া ঘরোত চাটগাঁইয়া হুনি বড় ওয়, ইতে ওলা এনেএনে ইয়ান শিখে।"
1099,The warmth and humor of Chittagonian speech makes it a joy to listen to.,চাটগাঁইয়া কথার উষ্ণতা ও রসিকতা এটি শুনতে আনন্দদায়ক করে তোলে।,চাটগাঁইয়া হতার মায়া আর হাঁসি-তামাশা হুনিতে মেলা গম লাগে।
1100,Every word in this dataset brings us closer to preserving this beautiful dialect.,এই ডেটাসেটের প্রতিটি শব্দ আমাদের এই সুন্দর উপভাষা সংরক্ষণের কাছে নিয়ে যায়।,ইয়া ডাটাসেটর পত্তি শব্দ আঁরারে ইয়া সুন্দর আঞ্চলিক ভাষা বাঁচাই রাহনর হাছে লই যায়।
1101,Ramadan is the month of fasting.,রমজান রোজার মাস।,রমজান রোয়ার মাস।
1102,He wakes up before dawn to eat sehri.,সে সেহরি খেতে ভোরের আগে ওঠে।,ইতে সেহরি হাইত বিয়ানর আগে উডে।
1103,She reads the Quran every evening in Ramadan.,সে রমজানে প্রতি সন্ধ্যায় কোরআন পড়ে।,ইতে রমজানত পত্তি আজিন্না বেলা কোরআন ফড়ে।
1104,The mosque is full every night during Ramadan for tarawih prayers.,রমজানে তারাবির নামাজের জন্য প্রতি রাতে মসজিদ পূর্ণ থাকে।,রমজানত তারাবির নামাজর লাই পত্তি রাইতত মসিদ মাইনষত ভরি থাহে।
1105,Iftar is the meal eaten to break the fast at sunset.,ইফতার হলো সূর্যাস্তে রোজা ভাঙতে খাওয়া খাবার।,ইফতার অইলো বেল ডুবনর সময় রোয়া ভাঙ্গি হানা হাউন।
1106,The whole family gathers together for iftar every evening.,প্রতি সন্ধ্যায় ইফতারের জন্য পুরো পরিবার একত্রিত হয়।,পত্তি আজিন্না বেলা ইফতার গরিতল্লাই গোট্টা পরিবার একসাথে ওয়।
1107,She prepares special Chittagonian dishes for iftar every day.,সে প্রতিদিন ইফতারের জন্য বিশেষ চাটগাঁইয়া খাবার তৈরি করে।,ইতি পত্তি দিন ইফতারর লাই চাটগাঁইয়া আলাদা হানা তৈয়ার গরে।
1108,The sound of the azaan signals the end of the fast each evening.,প্রতি সন্ধ্যায় আজানের শব্দ রোজার সমাপ্তির সংকেত দেয়।,পত্তি আজিন্না বেলার আজানর শব্দে রোয়া শেষ অওনর হবর দেয়।
1109,Children look forward to Eid at the end of Ramadan with great excitement.,শিশুরা রমজানের শেষে ঈদের জন্য অনেক উত্তেজনায় অপেক্ষা করে।,ফুয়াঅঅল রমজান শেষ অইলে ইদর লাই মেলা হুশিতে বই থাহে।
1110,Lailatul Qadr is considered the holiest night of the year in Islam.,লাইলাতুল কদর ইসলামে বছরের সবচেয়ে পবিত্র রাত হিসেবে বিবেচিত।,লাইলাতুল কদর অইলো ইসলামত বছরর বেগগুনত্তুন পবিত্র রাইত।
1111,People in Chittagong visit the mosque for Fajr prayer even in winter.,চট্টগ্রামের মানুষ শীতেও ফজরের নামাজের জন্য মসজিদে যান।,চাটগাঁর মাইনষ শীতকালেও ফজরের নামাজত মসিদত যায়।
1112,He has been fasting during Ramadan since he was twelve years old.,সে বারো বছর বয়স থেকে রমজানে রোজা রাখছে।,ইতে বারো বছর বয়স তুন রমজানত রোয়া রাহে।
1113,The imam at the local mosque gives a special lecture every Friday.,স্থানীয় মসজিদের ইমাম প্রতি শুক্রবার বিশেষ বক্তৃতা দেন।,এলাকার মসিদর ইমাম পত্তি শুক্কুরবার আলাদা করি হতা হয়।
1114,Sadaqah and zakat are important pillars of charity in Islam.,সদকা ও যাকাত ইসলামে দানের গুরুত্বপূর্ণ স্তম্ভ।,সদকা আর যাকাত অইলো ইসলামত দান গরণর মেলা বড় নিয়ম।
1115,Many families in Chittagong pay their zakat during the last ten days of Ramadan.,চট্টগ্রামের অনেক পরিবার রমজানের শেষ দশ দিনে যাকাত আদায় করে।,চাটগাঁর মেলা পরিবার রমজানর শেষ দশ দিনত যাকাত দেয়।
1116,She recited Surah Al-Fatiha from memory when she was only five years old.,সে মাত্র পাঁচ বছর বয়সে মুখস্ত সুরা আল-ফাতিহা পাঠ করেছিল।,ইতে মাত্র পাঁচ বছর বয়সত সূরা ফাতিহা মুখস্ত ফইজ্জিল।
1117,The children attend the mosque school every morning to learn Arabic.,শিশুরা আরবি শিখতে প্রতিদিন সকালে মসজিদ স্কুলে যায়।,ফুয়াঅঅল আরবি শিখিত পত্তি বিয়ান বেলা মসিদত যায়।
1118,The smell of attar and incense fills the mosque during Friday prayers.,জুমার নামাজের সময় মসজিদ আতর ও ধূপের সুগন্ধে ভরে যায়।,জুমার নামাজর সময় মসিদ আতর আর আগরবাতির ঘ্রাণত ভরি যায়।
1119,During the last ten nights of Ramadan many people do itikaf in the mosque.,রমজানের শেষ দশ রাতে অনেকে মসজিদে ইতিকাফ করেন।,রমজানর শেষ দশ রাইতত মেলা মাইনষ মসিদত ইতেকাফ গরে।
1120,He walked to the mosque in the dark every morning for Fajr throughout Ramadan.,সে রমজান জুড়ে প্রতিদিন সকালে অন্ধকারে ফজরের জন্য মসজিদে হেঁটে গেছে।,ইতে গোট্টা রমজান মাস বিয়ান বেলা আঁধার থাহিতে ফজরের নামাজত হাঁডি গিয়্যি।
1121,Her grandmother taught her how to make special Ramadan sweets from childhood.,তার দাদি তাকে ছোটবেলা থেকে রমজানের বিশেষ মিষ্টি বানাতে শিখিয়েছেন।,ইতর দাদি ইতেরে ছোট বেলা তুন রমজানর আলাদা মিঠাই বানানি শিখাইয়্যে।
1122,The spirit of brotherhood during Ramadan brings the community closer together.,রমজানের ভ্রাতৃত্বের মনোভাব সম্প্রদায়কে আরও কাছে নিয়ে আসে।,রমজানর মিল-মিশ মাইনষরে আরও হাছে লই আইয়ে।
1123,Many Chittagonian families host large iftar gatherings for neighbors.,চট্টগ্রামের অনেক পরিবার প্রতিবেশীদের জন্য বড় ইফতার মজলিস আয়োজন করে।,চাটগাঁর মেলা পরিবার হাতর ঘরের মাইনষর লাই মেলা ইফতারর ব্যবস্থা গরে।
1124,The Eid prayer on the open field brings the whole neighborhood together.,খোলা মাঠে ঈদের নামাজ পুরো পাড়াকে একত্রিত করে।,বড় মইদানত ইদর নামাজ গোট্টা পাড়ারে একসাথে গরে।
1125,She made noodles and halwa for sehri to give the family energy for the fast.,সে পরিবারকে রোজার শক্তি দিতে সেহরিতে নুডলস ও হালুয়া বানিয়েছে।,ইতি পরিবাররে বল পাইতল্লাই সেহরিতে নুডলস আর হালুয়া বানাই দিয়্যি।
1126,Performing Hajj is the dream of every Muslim who can afford the journey.,হজ পালন করা সামর্থ্যবান প্রতিটি মুসলমানের স্বপ্ন।,হজ গরণ অইলো টেঁয়াঅলা পত্তি মুসলমানর সপ্ন।
1127,His father returned from Hajj and was greeted by the whole village.,তার বাবা হজ থেকে ফিরলে পুরো গ্রাম তাকে অভ্যর্থনা জানিয়েছে।,ইতর বাপ হজ তুন ফিরি আইলে গোট্টা গাঁওর মাইনষ দেখা গরিত আইয়্যে।
1128,She prays five times a day without fail no matter how busy she is.,সে যত ব্যস্তই থাকুক না কেন বিনা ব্যর্থতায় দিনে পাঁচবার নামাজ পড়ে।,ইতে যত্তুনই ব্যস্ত থাহুক না কেন পত্তি দিন পাঁচবার নামাজ ফড়ে।
1129,Faith gives strength to people when they face hardship and difficulty.,বিশ্বাস মানুষকে কষ্ট ও অসুবিধার মুখে শক্তি দেয়।,বিশ্বাস মাইনষরে হষ্ট আর মুসিবতর সময় সাহস দেয়।
1130,The call to prayer from the Chittagong hilltop mosque echoes across the city.,চট্টগ্রামের পাহাড়চূড়ার মসজিদ থেকে আজান পুরো শহরে ধ্বনিত হয়।,চাটগাঁর ফাড়র মসিদ তুন আজান গোট্টা শহরত হুনা যায়।
1131,She taught her children that kindness to others is itself a form of worship.,সে তার সন্তানদের শেখিয়েছে অন্যদের প্রতি দয়া দেখানো নিজেই ইবাদতের একটি রূপ।,ইতে ইতর ফুয়াঅঅলরে শিখাইয়্যে মাইনষরে দয়া গরণও এক্কান ইবাদত।
1132,The old mosque in the village has stood for over two hundred years.,গ্রামের পুরনো মসজিদটি দুইশো বছরেরও বেশি সময় ধরে দাঁড়িয়ে আছে।,গাঁওর পুরানা মসিদ গান দুইশ বছরর বেশি সময় ধরি আছে।
1133,Visiting the graves of parents on Eid day is a common tradition in Chittagong.,ঈদের দিন বাবা-মার কবর জিয়ারত করা চট্টগ্রামে একটি সাধারণ ঐতিহ্য।,ইদর দিন বাপ-মার হবর জিয়ারত গরণ চাটগাঁর এক্কান পুরানা নিয়ম।
1134,Bismillah is said before every meal in every household in Chittagong.,চট্টগ্রামের প্রতিটি ঘরে প্রতিটি খাবারের আগে বিসমিল্লাহ বলা হয়।,চাটগাঁর পত্তি ঘরোত হানা হাইবার আগে বিসমিল্লাহ কয়।
1135,He memorized the entire Quran by the age of fourteen and became a hafiz.,সে চৌদ্দ বছর বয়সে পুরো কোরআন মুখস্ত করে হাফেজ হয়েছে।,ইতে চৌদ্দ বছর বয়সত গোট্টা কোরআন মুখস্ত করি হাফেজ অইয়ে।
1136,Reciting Durood Ibrahim after the azaan is a widely practiced tradition.,আজানের পর দুরুদ ইব্রাহিম পাঠ করা একটি ব্যাপকভাবে পালিত ঐতিহ্য।,আজানর পরে দুরুদ শরীফ ফড়ন মেলা মাইনষর এক্কান নিয়ম।
1137,She donated her gold bangles for the construction of the new mosque.,সে নতুন মসজিদ নির্মাণে তার সোনার চুড়ি দান করেছে।,ইতি নুয়া মসিদ বানাইতল্লাই নিজের স্বর্ণর চুড়ি দি দিয়্যি।
1138,The children competed to finish their Quran recitation before Ramadan ended.,শিশুরা রমজান শেষ হওয়ার আগে কোরআন তেলাওয়াত শেষ করতে প্রতিযোগিতা করেছে।,ফুয়াঅঅল রমজান শেষ অইবার আগে কোরআন ফড়া শেষ গরিত পাল্লা দিয়্যি।
1139,Every night in Ramadan the neighborhood comes alive with the sound of prayer.,রমজানে প্রতি রাতে পাড়া নামাজের শব্দে সজীব হয়ে ওঠে।,রমজানত পত্তি রাইতত পাড়া নামাজর শব্দত গম লাগে।
1140,The sermon after Friday prayer often addresses real problems in the community.,জুমার নামাজের পরের খুতবায় প্রায়ই সম্প্রদায়ের বাস্তব সমস্যা নিয়ে আলোচনা হয়।,জুমার নামাজর খুতবাত মেলা সময় এলাকার সমস্যা লই হতা ওয়।
1141,The baby is sleeping.,শিশুটি ঘুমাচ্ছে।,ফুয়া ইবা ঘূমের।
1142,My sister got married last month.,আমার বোন গত মাসে বিয়ে করেছে।,আঁর বইনর গিয়্যি মাসত বিয়া অইয়ে।
1143,He plays with his younger brother every day.,সে প্রতিদিন ছোট ভাইয়ের সাথে খেলে।,ইতে পত্তি দিন ছোট ভাইর লয় খেলা গরে।
1144,She reads bedtime stories to her children every night.,সে প্রতি রাতে সন্তানদের ঘুমের আগে গল্প পড়ে শোনায়।,ইতি পত্তি রাইতত ফুয়াঅঅলরে ঘূমাইবার আগে হিতসা হুনায়।
1145,The whole family had dinner together on Friday evening.,শুক্রবার সন্ধ্যায় পুরো পরিবার একসাথে রাতের খাবার খেয়েছে।,শুক্কুরবার আজা বেলা গোট্টা পরিবার একসাথে রাইতর হানা হাইয়্যে।
1146,My uncle came from Dhaka to visit us during Eid.,ঈদে আমাকে দেখতে আমার চাচা ঢাকা থেকে এসেছেন।,ইদর সময় আঁরে দেহিতল্লাই জেঠা ঢাকাত্তুন আইয়্যে।
1147,The children played cricket in the open field after school.,স্কুলের পরে শিশুরা খোলা মাঠে ক্রিকেট খেলেছে।,ইশকুলর পরে ফুয়াঅঅল বিলত ক্রিকেট খেল্যি।
1148,Her daughter scored first in class and the family celebrated together.,তার মেয়ে ক্লাসে প্রথম হয়েছে এবং পরিবার একসাথে উদযাপন করেছে।,ইতর মাইয়্যা ফুয়া ক্লাসত পইলা অইয়ে আর পরিবারর বেগগুন একসাথে আমোদ গইজ্জে।
1149,He taught his son how to ride a bicycle on Sunday morning.,রবিবার সকালে সে ছেলেকে সাইকেল চালাতে শিখিয়েছে।,রবিবার বিয়ান বেলা ইতে ইতর পোয়ারে সাইকেল চালানি শিখাইয়্যে।
1150,The new baby in the house brought great joy to the entire family.,বাড়িতে নতুন শিশু পুরো পরিবারে অনেক আনন্দ এনেছে।,ঘরোত নুয়া ফুয়া আইবার লাই গোট্টা পরিবারত হুশি আইয়্যে।
1151,She named her daughter after her grandmother as a sign of respect.,সে সম্মানের চিহ্ন হিসেবে মেয়ের নাম দাদির নামে রেখেছে।,ইতে ইজ্জত করি দাদির নামত ইতর মাইয়্যা ফুয়ার নাম রাহ্যে।
1152,The children gathered around the grandfather as he told stories of old Chittagong.,দাদা পুরনো চট্টগ্রামের গল্প বলতে থাকলে শিশুরা তার চারপাশে জড়ো হয়েছে।,দাদা পুরানা চাটগাঁর কিসসা হওনর সময় ফুয়াঅঅল দাদার হাতত জমা অইয়ে।
1153,My aunt makes the best hilsa curry in the whole family.,আমার খালা পুরো পরিবারে সেরা ইলিশ তরকারি রান্না করেন।,আঁর মেলা পরিবারর ভিতর বেগগুনত্তুন গম ইলিশ মাছর সালুন রাঁধে।
1154,The parents worked very hard so their children could go to university.,বাবা-মা অনেক কঠোর পরিশ্রম করেছেন যাতে সন্তানরা বিশ্ববিদ্যালয়ে যেতে পারে।,বাপ-মা মেলা হষ্ট গইজ্জে যাতে ফুয়াঅঅল ভার্সিটিত যাইত ফারে।
1155,She scolded her son for playing near the river alone.,একা নদীর কাছে খেলার জন্য সে ছেলেকে বকেছে।,এক্কাই নদীর হাছে খেলা গরণের লাই ইতে পোয়ারে গাইল দিয়্যি।
1156,The family bought a new refrigerator with the Eid bonus money.,ঈদ বোনাসের টাকা দিয়ে পরিবার নতুন ফ্রিজ কিনেছে।,ইদর বোনাসর টেঁয়া দি পরিবার এক্কান নুয়া ফ্রিজ হিনিয়্যে।
1157,Cousins came from different cities and the house was full of laughter.,বিভিন্ন শহর থেকে চাচাতো ভাই-বোনেরা এলো এবং বাড়ি হাসিতে ভরে গেল।,আলাদা আলাদা শহর তুন ভাই-বইন অঅল আই ঘর হাঁসিত ভরি গিয়্যি।
1158,His mother still wakes up early to prepare breakfast even though he is grown.,সে বড় হলেও তার মা এখনো নাস্তা তৈরি করতে ভোরে ওঠেন।,ইতে বড় অইলেও ইতর মা অওনো নাস্তা বানাইত বিয়ান বেলা উডে।
1159,The child cried for an hour before finally falling asleep.,শিশুটি এক ঘণ্টা কাঁদার পরে অবশেষে ঘুমিয়ে পড়েছে।,ফুয়া ইবা এক ঘণ্টা হাঁদনর পরে শেষে ঘূমাই গিয়্যি।
1160,She kept every school report card of her children in a special box.,সে সন্তানদের প্রতিটি স্কুল রিপোর্ট কার্ড একটি বিশেষ বাক্সে রেখেছে।,ইতি ফুয়াঅঅলের ইশকুলর রেজাল্ট শিট বেগগুন এক্কান আলাদা বাক্সত রাখি দিয়্যি।
1161,The family prayed together for rain after weeks of drought.,কয়েক সপ্তাহ খরার পর পরিবার বৃষ্টির জন্য একসাথে দোয়া করেছে।,কয় সপ্তা হুহার পরে পরিবারর বেগগুন বৃষ্টির লাই একসাথে দোয়া গইজ্জে।
1162,Her youngest child started walking and everyone clapped with joy.,তার ছোট সন্তান হাঁটতে শুরু করলে সবাই আনন্দে হাততালি দিয়েছে।,ইতর ছোট ফুয়া হাঁটন শুরু গইলে বেগগুন হুশিতে হাতর তালি দিয়্যি।
1163,He carried his daughter on his shoulders so she could see the parade.,মেয়ে মিছিল দেখতে পারে বলে সে তাকে কাঁধে বহন করেছে।,মাইয়্যা ফুয়া যাতে মিছিল দেহতি ফারে অইবার লাই ইতে ইতেরে কাঁধত তুলি লইয়্যি।
1164,The family planted a mango tree on the day the new baby was born.,নতুন শিশু জন্মের দিন পরিবার একটি আমগাছ লাগিয়েছে।,নুয়া ফুয়া অওনর দিন পরিবার এক্কান আম গাছ লাগাইয়্যি।
1165,She wrote letters to her parents every week when she studied abroad.,বিদেশে পড়ার সময় সে প্রতি সপ্তাহে বাবা-মাকে চিঠি লিখত।,বিদেশত ফড়াশোনা গরণের সময় ইতে পত্তি সপ্তাত বাপ-মারে চিঠি লেখিত।
1166,The children were warned not to go near the sea without an adult.,শিশুদের সতর্ক করা হয়েছিল বড় কেউ ছাড়া সমুদ্রের কাছে না যেতে।,ফুয়াঅঅলরে ডরাই দিয়্যিল যে মুরুব্বি ছাড়া দরিয়ার হাছে ন যাইতল্লাই।
1167,My grandfather used to call me by a special Chittagonian nickname.,আমার দাদা আমাকে একটি বিশেষ চাটগাঁইয়া ডাকনামে ডাকতেন।,আঁর দাদা আঁরে এক্কান চাটগাঁইয়া আলাদা নামে ডাহিতো।
1168,She braided her daughter's hair every morning before school.,প্রতিদিন স্কুলের আগে সে মেয়ের চুল বেণি করে দিত।,পত্তি দিন ইশকুলত যাইবার আগে ইতি মাইয়্যা ফুয়ার চুল বেণি গরি দিতো।
1169,The family sat on the roof every evening to catch the cool breeze.,পরিবার ঠান্ডা বাতাস পেতে প্রতি সন্ধ্যায় ছাদে বসত।,ঠান্ডা বাতাস পাইতল্লাই পরিবারর বেগগুন পত্তি আজা বেলা ছাদত বইতো।
1170,No matter how far he goes he always calls home every Sunday.,সে যতদূরেই যাক প্রতি রবিবার বাড়িতে ফোন করে।,ইতে যত্তুনই দূরে যাউক পত্তি রবিবার ঘরোত ফোন গরে।
1171,His mother saved rice from every meal to give to the poor family next door.,তার মা পাশের গরিব পরিবারকে দিতে প্রতিটি খাবার থেকে ভাত আলাদা করে রাখতেন।,ইতর মা হাতর ঘরের গরিব মাইনষরে দেওনর লাই পত্তিবারর ভাত তুন এক্কানা আলাদা করি রাহিতো।
1172,The children stayed up late on the night before Eid too excited to sleep.,শিশুরা ঈদের আগের রাতে উত্তেজনায় ঘুমাতে না পেরে দেরি পর্যন্ত জেগে ছিল।,ফুয়াঅঅল ইদর আগের রাইতত হুশিতে ঘূমাইত ন ফারি মেলা রাইত পর্যন্ত জেগি আছিল।
1173,She kept a photograph of her whole family on her desk at work.,সে কর্মক্ষেত্রে তার ডেস্কে পুরো পরিবারের একটি ছবি রেখেছে।,ইতে হাজর জাগাত টেবিলত গোট্টা পরিবারর এক্কান ছবি রাহ্যে।
1174,The family gathered around the sick grandmother and took turns caring for her.,পরিবার অসুস্থ দাদির চারপাশে জড়ো হয়ে পালাক্রমে তার সেবা করেছে।,পরিবারর বেগগুন বেরামি দাদির হাতত জমা অই এক্কজন আরকজন করি সেবা গইজ্জে।
1175,Her father never missed a single school sports day in her entire childhood.,শৈশব জুড়ে তার বাবা একটিও স্কুলের খেলার দিন মিস করেননি।,ছোট বেলা তুন ইতর বাপ ইশকুলর খেলার দিন এক দিনও মিস ন গরে।
1176,I have a headache.,আমার মাথাব্যথা আছে।,আঁর মাথা বিষ আছে
1177,She is allergic to dust.,তার ধুলাবালিতে অ্যালার্জি আছে।,ইতর ধুলার লাই সমস্যা ওয়।
1178,He was admitted to hospital last night.,গত রাতে তাকে হাসপাতালে ভর্তি করা হয়েছে।,গিয়্যি রাইতত ইতেরে হাস্পাতালত ভর্তি গইজ্জে।
1179,The doctor prescribed three medicines and told her to rest.,ডাক্তার তিনটি ওষুধ লিখে দিয়েছেন এবং বিশ্রাম নিতে বলেছেন।,ডাক্তার তিন ক্যান ওষুদ দিয়্যি আর জিরান লইত কইয়্যে।
1180,He has had diabetes for ten years and monitors his sugar every day.,তার দশ বছর ধরে ডায়াবেটিস আছে এবং সে প্রতিদিন সুগার পরীক্ষা করে।,ইতর দশ বছর ধরি ডায়াবেটিস আছে আর ইতে পত্তি দিন সুগার চেক গরে।
1181,The child had a high fever of one hundred and four degrees for two days.,শিশুটির দুইদিন ধরে একশো চার ডিগ্রি তীব্র জ্বর ছিল।,ফুয়া ইবার দুই দিন ধরি একশ চার ডিগ্রি কড়া জর আছিল।
1182,She needs surgery but the family cannot afford the hospital bill.,তার অস্ত্রোপচার দরকার কিন্তু পরিবার হাসপাতালের বিল বহন করতে পারছে না।,ইতর অপারেশন দরহার কিন্তু পরিবার হাস্পাতালর টেঁয়া দিত ন ফারের।
1183,The blood test results showed that he has anemia.,রক্ত পরীক্ষার ফলাফলে দেখা গেছে তার রক্তশূন্যতা আছে।,রক্ত চেক গরি দেহা গিয়্যি যে ইতর রক্ত হম আছে।
